annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,3.993281395,4.998073265,1.989013067
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,3.767413319,4.777281902,1.182425594
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,4.988990479,4.999999352,1.000000053
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,4.498873268,4.777299615,1.022977373
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,4.371024826,4.904650466,1.22270014
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,4.320723609,4.999290329,1.047425874
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,4.132452722,4.952572143,1.010986942
1,Nei momenti difficili le speranze sono stelle che illuminano l'anima.,4.851940351,4.999999947,1.000000041
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,3.001919847,3.999982594,1.99999867
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,2.009485916,2.820643351,3.320325336
1,Nelle persone creative le menti sono vulcani di idee e progetti.,4.880793329,4.999999991,1.000000003
1,Nei bambini appena nati le guance sono pesche liscissime.,4.020739962,4.43779492,1.994779921
1,Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,4.962673022,4.999999607,1.0
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,4.731023732,4.989012905,1.000000032
1,Per i soggetti depressi le crisi sono tunnel senza fine.,4.222687766,4.999972464,1.998498821
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,4.817573072,4.999999168,1.000000393
1,Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,4.499998504,4.998498817,1.982013788
1,Nella memoria dei popoli le stragi sono cicatrici indelebili.,4.989012735,4.999999975,1.000000001
1,I malati di artrosi dicono che le fitte sono coltelli nella carne.,4.022902564,4.999972464,1.995929863
1,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,4.501917077,4.001011074,1.000006144
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,3.058229819,3.964618105,2.92414509
1,Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,4.008532092,4.999999901,1.999978556
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,2.000787657,2.998115257,4.000027503
1,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,3.97078379,4.995929862,1.999963154
1,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,4.678369156,4.499999514,1.00000176
1,In certi momenti gli occhi sono oceani di profondità infinita.,4.437817122,4.999998629,1.904650539
1,Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,3.222919015,4.001169474,2.99849885
1,Per gli animi sensibili le poesie sono sorrisi per il cuore.,4.147910432,4.999995215,1.03732689
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,4.320785347,4.998830489,1.268941421
1,Le tasche delle giacche dei nonni sono banche zeppe di monete.,2.074952304,2.975904208,3.995263251
1,Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,3.000616732,4.004069745,2.989087894
1,Negli animi fragili le tentazioni sono reti molto pericolose.,3.989443564,4.999088948,1.996827317
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,3.071810208,3.998504962,2.851954524
1,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,4.731047271,4.999993856,1.000000003
1,Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,4.008560785,4.999941709,1.999569443
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,4.041526446,4.997527376,1.991422677
1,Spesso nella vita le delusioni sono zavorre molto pesanti.,4.817568199,4.999999496,1.000000001
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,3.965142519,4.02297195,2.000009062
1,Dopo un temporale le nuvole sono perle di infiniti riflessi.,2.99914724,4.000156892,2.999925155
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,2.818610499,3.073942255,2.992333506
1,In politica e nel commercio certi discorsi sono fiumi che travolgono.,4.075827166,4.924141821,1.999876605
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,2.713281024,3.009410175,3.999925081
1,Nelle campagne elettorali certi politici sono calamite per i voti.,4.268921516,4.997527377,1.222700139
1,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,4.047394739,4.999996273,1.996827317
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,3.595068413,4.00519259,2.982349032
1,Per alcune persone certi profumi sono chiavi per la porta della memoria.,4.258718966,4.999972464,1.962673349
