annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'alito è una fogna,6,6,7
1,Quell'uragano è un carrarmato,4,1,5
1,Quella borsa è un macigno,7,5,7
1,Quella città è una giungla,4,6,5
1,Quelle guance sono pesche,7,6,4
1,Quel bacio è un peperoncino,4,6,4
1,Quella bocca è una fragola,4,2,2
1,Quella locomotiva è un drago,3,1,2
1,Quella ruga è un burrone,4,5,6
1,Quel vestito è una tenda,5,3,4
1,Quel lago è un cristallo,7,2,1
1,Quel sorriso è una stella,4,2,1
1,Quella pelle è una porcellana,3,4,2
1,Quel prato è un velluto,5,5,3
1,Quel mento è un precipizio,3,2,6
1,Quel viso è una seta,3,3,4
1,Quella nebbia è un muro,3,4,6
1,Quell'orecchio è una padella,5,2,4
1,Quella mano è una grattugia,5,5,6
1,Quel naso è un uncino,3,5,6
1,Quei denti sono una ghigliottina,4,6,5
1,Quelle palpebre sono serrande,1,2,4
1,Quelle ciglia sono un ventaglio,5,6,7
1,Quei piedi sono zattere,6,4,7
1,Quella pancia è una mongolfiera,5,6,7
1,Quella barba è un batuffolo,1,7,6
1,Quegli zigomi sono montagne,5,6,7
1,Quelle gambe sono trampoli,5,3,6
1,Quella caviglia è un pallone,6,4,7
1,Quel braccio è una sbarra,1,5,5
1,Quei capelli sono spaghetti,6,2,7
1,Quella fronte è una pianura,3,4,5
1,Quegli addominali sono marmo,5,6,7
1,Quelle labbra sono un canotto,3,3,5
1,Quei bicipiti sono sassi,5,4,7
1,Quelle unghie sono ruspe,4,5,5
1,Quelle dita sono tentacoli,3,5,4
1,Quei peli sono aghi,7,6,6
1,Quel brufolo è un vulcano,3,4,6
1,Quel neo è una mora,4,6,3
1,Quell'autostrada è un serpente,4,6,4
1,Quella fabbrica è un alveare,1,4,2
1,Quella luna è un palloncino,2,3,2
1,Quella sigaretta è un proiettile,5,6,5
1,Quella stanza è una discarica,4,6,5
1,Quel computer è una tartaruga,6,3,1
1,Quel libro è una lanterna,4,3,2
1,Quell'automobile è un missile,7,4,2
1,Quel cavo è un gomitolo,4,4,5
1,Quel cappello è un fungo,6,4,3
1,Quella grondaia è uno scolapasta,5,4,6
1,Quella casa è un gioiello,3,6,1
