annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
8,Alice disegna il suo futuro con Alberto,4,6
8,Laura ricama il discorso con tanti dettagli,4,6
8,Guido timbra il passaggio all' età adulta ,4,6
8,Gaia rammenda i rapporti con i genitori,5,6
8,Il giornalista accende l'interesse di Luca,5,6
8,Il professore apre la mente degli alunni,6,7
8,Il laureato chiude un capitolo della sua vita,6,7
8,Matilde getta la tristezza alle spalle,4,6
8,Il carabiniere monta gli indizi del delitto,5,6
8,La nonna attacca i ricordi nella memoria,4,6
8,Lo scienziato spacca il problema nei dettagli,6,7
8,Il cacciatore rompe la quiete del bosco,5,6
8,Monica butta le speranze nel dimenticatoio,4,6
8,Vittorio spezza la noia con un film,6,6
8,L'avvocato tocca il centro della questione,6,7
8,Il politico trita le idee degli avversari,6,7
8,Annalisa scava i segreti dell'animo ,4,6
8,Marcella colpisce il cuore del suo fidanzato,4,6
8,Antonio solleva il dolore del suo amico,4,6
8,Alessandro versa le energie nello studio,6,6
8,Il poliziotto strappa una confessione al ladro,6,7
8,Elisa spazza i problemi con decisione,3,5
8,Anna raccoglie le confidenze dell' amica,6,7
8,Sara sciacqua la coscienza con la beneficienza,3,5
8,Il giudice addita le colpe degli imputati,6,7
8,Il dirigente cuce nuovi rapporti di lavoro,3,5
8,Il giovane coglie l' opportunità con entusiasmo,6,7
8,L' inventore sfoglia le idee nella sua testa,5,6
8,Silvia afferra l' intuizione del collega,4,6
8,La madre costruisce la personalità del figlio,6,7
8,Adele calpesta i sogni della figlia ,4,6
8,Carlo calcia le critiche degli invidiosi ,4,6
8,L' architetto saltella da un' idea all' altra ,3,5
8,Lo studente zoppica verso l' esame di storia,4,6
8,Lisa corre verso l' amore con ingenuità,4,6
