split_dimension,group,target_dimension,n_item,spearman_corr,p_value
BODY_RELATEDNESS,high,FAMILIARITY,32,0.032991202346041054,0.8577414970955615
BODY_RELATEDNESS,low,FAMILIARITY,22,0.7065800903053562,0.00023709688058304475
BODY_RELATEDNESS,high,MEANINGFULNESS,32,0.003849326384052478,0.9833184291531973
BODY_RELATEDNESS,low,MEANINGFULNESS,32,0.6524289752155832,5.199257375317131e-05
BODY_RELATEDNESS,high,BODY_RELATEDNESS,32,0.12651265339166726,0.49021270459660826
BODY_RELATEDNESS,low,BODY_RELATEDNESS,32,0.37763520341222295,0.033101525527240994
PHISICALITY,high,PHISICALITY,12,0.16783216783216784,0.602099427786538
PHISICALITY,low,PHISICALITY,30,0.2535054780424311,0.1764683726827631
PHISICALITY,high,IMAGEABILITY,12,0.006993006993006993,0.9827917689028476
PHISICALITY,low,IMAGEABILITY,30,0.06300792294847964,0.740815738067828
