annotator,metaphor,metaphor_structure,PHISICALITY_synthetic,IMAGEABILITY_synthetic
1,Certi avvocati sono squali,Nominal predicative,2,1
1,Quegli scalatori sono scoiattoli,Nominal predicative,4,3
1,Alcuni bambini sono fontane,Nominal predicative,1,1
1,Certi banchieri sono vampiri,Nominal predicative,2,2
1,Alcuni colleghi sono zecche,Nominal predicative,1,1
1,Certi giornalisti sono avvoltoi,Nominal predicative,3,2
1,Alcuni professori sono enciclopedie,Nominal predicative,1,1
1,Quei poliziotti sono leoni,Nominal predicative,5,5
1,Certe acconciature sono cespugli,Nominal predicative,6,6
1,Certe fanciulle sono rose,Nominal predicative,6,6
1,Certe indossatrici sono bambole,Nominal predicative,7,7
1,Certi bimbetti sono colla,Nominal predicative,2,1
1,Alcuni venditori sono ortiche,Nominal predicative,2,2
1,Certi ladri sono gatti,Nominal predicative,5,4
1,Alcune suocere sono vipere,Nominal predicative,4,3
1,Alcuni atleti sono statue,Nominal predicative,6,6
1,Certi ginnasti sono burattini,Nominal predicative,5,5
1,Quelle ballerine sono libellule,Nominal predicative,6,6
1,Quelle bambine sono zuccherini,Nominal predicative,3,2
1,Quei chitarristi sono mitraglie,Nominal predicative,4,3
1,Certi impiegati sono zerbini,Nominal predicative,2,2
1,Alcuni neonati sono batuffoli,Nominal predicative,6,6
1,Alcuni cantanti sono usignoli,Nominal predicative,7,7
1,Certi pesisti sono ippopotami,Nominal predicative,7,7
1,Quei cuochi sono mongolfiere,Nominal predicative,3,2
1,Alcuni politici sono pavoni,Nominal predicative,5,5
1,Quei degenti sono mummie,Nominal predicative,6,6
1,Certi insegnanti sono ghiaccioli,Nominal predicative,2,2
1,Certi fruttivendoli sono megafoni,Nominal predicative,2,1
1,Alcuni amici sono ancore,Nominal predicative,3,2
1,Certi burocrati sono fossili,Nominal predicative,4,4
1,Alcuni anziani sono lumache,Nominal predicative,5,5
1,Certi corridori sono lepri,Nominal predicative,7,7
1,Quegli scolari sono uragani,Nominal predicative,3,2
1,Alcune segretarie sono agende,Nominal predicative,4,3
1,Certi leader sono fari,Nominal predicative,5,4
1,Certi scienziati sono lampi,Nominal predicative,3,2
1,Quegli eremiti sono lupi,Nominal predicative,4,4
1,Quelle spose sono nuvole,Nominal predicative,6,5
1,Certi nasi sono uncini,Nominal predicative,6,6
1,Quelle labbra sono canotti,Nominal predicative,2,2
1,Certi bicipiti sono sassi,Nominal predicative,6,6
2,Certi avvocati sono squali,Nominal predicative,4,2
2,Quegli scalatori sono scoiattoli,Nominal predicative,5,3
2,Alcuni bambini sono fontane,Nominal predicative,2,1
2,Certi banchieri sono vampiri,Nominal predicative,3,2
2,Alcuni colleghi sono zecche,Nominal predicative,2,1
2,Certi giornalisti sono avvoltoi,Nominal predicative,5,4
2,Alcuni professori sono enciclopedie,Nominal predicative,1,1
2,Quei poliziotti sono leoni,Nominal predicative,6,5
2,Certe acconciature sono cespugli,Nominal predicative,6,6
2,Certe fanciulle sono rose,Nominal predicative,7,6
2,Certe indossatrici sono bambole,Nominal predicative,7,7
2,Certi bimbetti sono colla,Nominal predicative,1,1
2,Alcuni venditori sono ortiche,Nominal predicative,2,2
2,Certi ladri sono gatti,Nominal predicative,6,5
2,Alcune suocere sono vipere,Nominal predicative,6,5
2,Alcuni atleti sono statue,Nominal predicative,6,6
2,Certi ginnasti sono burattini,Nominal predicative,5,5
2,Quelle ballerine sono libellule,Nominal predicative,7,6
2,Quelle bambine sono zuccherini,Nominal predicative,3,2
2,Quei chitarristi sono mitraglie,Nominal predicative,4,3
2,Certi impiegati sono zerbini,Nominal predicative,2,2
2,Alcuni neonati sono batuffoli,Nominal predicative,7,6
2,Alcuni cantanti sono usignoli,Nominal predicative,7,6
2,Certi pesisti sono ippopotami,Nominal predicative,7,7
2,Quei cuochi sono mongolfiere,Nominal predicative,4,3
2,Alcuni politici sono pavoni,Nominal predicative,6,5
2,Quei degenti sono mummie,Nominal predicative,6,6
2,Certi insegnanti sono ghiaccioli,Nominal predicative,3,3
2,Certi fruttivendoli sono megafoni,Nominal predicative,2,1
2,Alcuni amici sono ancore,Nominal predicative,4,3
2,Certi burocrati sono fossili,Nominal predicative,5,5
2,Alcuni anziani sono lumache,Nominal predicative,6,6
