annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,3.997252461,4.976990371,1.000911068
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,4.095017162,4.999796573,1.037326896
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,3.940173605,4.952571879,1.993307181
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,1.017730905,1.92419296,4.000910924
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,2.064536191,2.279015531,3.999833195
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,2.412321138,3.229839637,3.978519885
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,1.384922477,1.323554236,4.851233669
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,3.997377215,4.970659575,1.679179785
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,3.998782934,4.999841563,1.904650874
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,1.692661848,1.973953317,4.0
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,3.993687118,4.43660928,1.999841774
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,3.999292376,4.999664649,1.999569496
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,1.009978626,1.005220732,4.320626799
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,1.057137562,1.500251555,4.21976068
1,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,4.000757226,4.998830466,1.622460663
1,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,4.32080433,4.999998932,1.000203428
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,4.095210919,4.999978555,1.006692856
1,Nelle campagne elettorali certi politici sono calamite per i voti.,4.003974036,4.99966465,1.001169512
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,3.998237044,4.998073209,1.977023023
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,4.010890853,4.999841563,1.003172699
1,Dopo un grave lutto certi ricordi sono spine dolorose.,4.00669059,4.999996273,1.010986943
1,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,4.268630305,4.999088944,1.000430568
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,4.119163423,4.999903898,1.000096105
1,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,3.775225297,4.175947485,1.999995837
1,Durante la gara di formula uno le automobili sono frecce velocissime.,4.96266827,4.999569441,1.000000026
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,3.99521042,4.904613593,1.029312688
1,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,4.817555154,4.999995215,1.000000054
1,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,1.849044806,2.012586978,4.005217865
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,3.998503821,4.998498815,1.500000334
1,Per i bambini maltrattati le carezze sono balsami che curano il trauma.,4.320660229,4.999999762,1.268941558
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,3.993281395,4.998498817,1.985936379
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,4.000255768,4.998498814,1.00116951
1,Quando si suda per la tensione le giacche sono forni di calore.,3.079602402,3.998891303,2.000568544
1,Nei bambini appena nati le guance sono pesche liscissime.,4.267856154,4.962373764,1.000335456
1,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,3.999919968,4.998073245,1.005220127
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,4.037123745,4.989011612,1.000158455
1,Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,3.997536982,4.999738809,1.90465059
1,Per i distubi del sonno certe melodie sono camomille rilassanti.,4.000575701,4.999088947,1.622459344
1,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,3.999841971,4.999876605,1.995929863
1,Le tasche delle giacche dei nonni sono banche zeppe di monete.,1.211528393,1.731903929,4.000547994
